"Name","Runtime","Notes","Tags","growing_jump","target_state","loss","loss0","step","total_seconds"
"drawn-cherry-1142","205","-","","0","sconf_image(""final/lake.png"")","0.009695886634290218","0.009695886634290218","2144","203.00200009346008"
"spring-hill-1141","123","-","","0","sconf_image(""final/kid.png"")","0.009896203875541689","0.009896203875541689","1283","120.51899933815002"
"generous-firefly-1140","123","-","","0","sconf_image(""final/fontaine.png"")","0.00954036321491003","0.00954036321491003","1288","121.16200017929076"
"worldly-valley-1139","160","-","","0","sconf_image(""final/f16.png"")","0.009624058380723","0.009624058380723","1686","157.73200035095215"
"graceful-firefly-1138","82","-","","0","sconf_image(""final/f15.png"")","0.009951225481927397","0.009951225481927397","846","79.89700031280518"
"azure-shadow-1137","152","-","","0","sconf_image(""final/corrosion.png"")","0.009202783927321434","0.009202783927321434","1603","150.28299498558044"
"vital-resonance-1136","158","-","","0","sconf_image(""final/cathedral.png"")","0.009894984774291515","0.009894984774291515","1660","155.83399963378906"
"rare-resonance-1135","107","-","","0","sconf_image(""final/bonito.png"")","0.009876469150185583","0.009876469150185583","1106","105.16700077056883"
"stellar-bush-1134","145","-","","0","sconf_image(""final/boat.png"")","0.009839843958616257","0.009839843958616257","1504","143.2429986000061"
"leafy-dawn-1133","120","-","","0","sconf_image(""final/bear.png"")","0.009255497716367245","0.009255497716367245","1234","117.4229998588562"
"expert-terrain-1132","114","-","","0","sconf_image(""final/beach.png"")","0.008131937123835087","0.008131937123835087","1173","111.52899956703186"
"denim-star-1131","111","-","","0","sconf_image(""final/baboon.png"")","0.009860355406999588","0.009860355406999588","1150","109.03599786758424"
"gentle-fog-1130","142","-","","0","sconf_image(""final/arctic.png"")","0.009672822430729866","0.009672822430729866","1484","140.08499908447266"
"easy-gorge-1129","118","-","","0","sconf_image(""final/arch.png"")","0.009831618517637253","0.009831618517637253","1232","116.01200008392334"
"swept-silence-1128","115","-","","10","sconf_image(""final/wildflowers.png"")","0.009433851577341557","0.009433851577341557","1662","112.5799844264984"
"upbeat-dust-1127","100","-","","10","sconf_image(""final/waterfall.png"")","0.009635771624743938","0.009635771624743938","1465","97.72799944877625"
"efficient-water-1126","76","-","","10","sconf_image(""final/water.png"")","0.00967690907418728","0.00967690907418728","1081","73.67899584770203"
"helpful-totem-1125","58","-","","10","sconf_image(""final/watch.png"")","0.009972535073757172","0.009972535073757172","861","55.430999994277954"
"royal-dawn-1124","85","-","","10","sconf_image(""final/stress.png"")","0.009374689310789108","0.009374689310789108","1257","83.26399993896484"
"skilled-bird-1123","100","-","","10","sconf_image(""final/rose.png"")","0.006872851401567459","0.006872851401567459","1429","97.72500157356262"
"sage-microwave-1122","141","-","","10","sconf_image(""final/pills.png"")","0.008757865987718105","0.008757865987718105","1994","138.9910011291504"
"robust-plant-1121","88","-","","10","sconf_image(""final/peppers.png"")","0.009951626881957054","0.009951626881957054","1294","86.25498843193054"
"fresh-brook-1120","88","-","","10","sconf_image(""final/opera.png"")","0.00945222284644842","0.00945222284644842","1242","85.87099957466125"
"desert-firebrand-1119","124","-","","10","sconf_image(""final/newyork.png"")","0.009420891292393208","0.009420891292393208","1712","121.96899795532228"
"misunderstood-rain-1118","78","-","","10","sconf_image(""final/machine.png"")","0.00974621158093214","0.00974621158093214","1192","75.70599865913391"
"fearless-darkness-1117","94","-","","10","sconf_image(""final/lena.png"")","0.009957135654985905","0.009957135654985905","1344","92.14699816703796"
"kind-dragon-1116","116","-","","10","sconf_image(""final/lake.png"")","0.008462863974273205","0.008462863974273205","1651","113.50999760627748"
"good-butterfly-1115","110","-","","10","sconf_image(""final/kid.png"")","0.009625074453651903","0.009625074453651903","1564","107.21999788284302"
