"Name","target_state","total_seconds"
"rural-grass-4018","sconf_imagestack(""hard/rose.png"", ""hard/lena.png"")","484.1230001449585"
"winter-violet-4017","sconf_imagestack(""hard/rose.png"", ""hard/arch.png"")","312.73000025749207"
"apricot-waterfall-4016","sconf_image(""hard/rose.png"")","225.99299812316897"
"rich-sun-4015","sconf_imagestack(""hard/pills.png"", ""hard/water.png"")","318.1279990673065"
"usual-darkness-4014","sconf_imagestack(""hard/pills.png"", ""hard/rose.png"")","341.97600173950195"
"glowing-lion-4013","sconf_imagestack(""hard/pills.png"", ""hard/pills.png"")","368.2769980430603"
"soft-meadow-4012","sconf_imagestack(""hard/pills.png"", ""hard/peppers.png"")","408.5209982395172"
"tough-wood-4011","sconf_imagestack(""hard/pills.png"", ""hard/lena.png"")","385.257999420166"
"lucky-flower-4010","sconf_imagestack(""hard/pills.png"", ""hard/arch.png"")","446.8139989376068"
"wise-bee-4009","sconf_image(""hard/pills.png"")","185.84799981117249"
"logical-firebrand-4008","sconf_imagestack(""hard/peppers.png"", ""hard/water.png"")","291.286997795105"
"peach-tree-4007","sconf_imagestack(""hard/peppers.png"", ""hard/rose.png"")","347.6619966030121"
"scarlet-eon-4006","sconf_imagestack(""hard/peppers.png"", ""hard/pills.png"")","473.9179952144623"
"celestial-puddle-4005","sconf_imagestack(""hard/peppers.png"", ""hard/peppers.png"")","258.2719957828522"
"rural-sun-4004","sconf_imagestack(""hard/peppers.png"", ""hard/lena.png"")","327.493999004364"
"fine-dew-4003","sconf_imagestack(""hard/peppers.png"", ""hard/arch.png"")","300.4779987335205"
"zany-surf-4002","sconf_image(""hard/peppers.png"")","163.32600021362305"
"worldly-jazz-4001","sconf_imagestack(""hard/lena.png"", ""hard/water.png"")","305.90499901771545"
"radiant-shape-4000","sconf_imagestack(""hard/lena.png"", ""hard/rose.png"")","321.7019991874695"
"prime-sky-3999","sconf_imagestack(""hard/lena.png"", ""hard/pills.png"")","361.8889982700348"
"copper-haze-3998","sconf_imagestack(""hard/lena.png"", ""hard/peppers.png"")","387.0289993286133"
"serene-glitter-3997","sconf_imagestack(""hard/lena.png"", ""hard/lena.png"")","330.12499737739563"
"colorful-morning-3996","sconf_imagestack(""hard/lena.png"", ""hard/arch.png"")","285.707998752594"
"rosy-energy-3995","sconf_image(""hard/lena.png"")","103.82299995422365"
"young-forest-3994","sconf_imagestack(""hard/arch.png"", ""hard/water.png"")","213.6440002918243"
"sunny-hill-3993","sconf_imagestack(""hard/arch.png"", ""hard/rose.png"")","271.8799982070923"
"zesty-haze-3992","sconf_imagestack(""hard/arch.png"", ""hard/pills.png"")","327.4259989261627"
"giddy-night-3991","sconf_imagestack(""hard/arch.png"", ""hard/peppers.png"")","279.9729952812195"
"drawn-lion-3990","sconf_imagestack(""hard/arch.png"", ""hard/lena.png"")","216.83299946784973"
"dainty-vortex-3989","sconf_imagestack(""hard/arch.png"", ""hard/arch.png"")","413.0479998588562"
"pretty-galaxy-3988","sconf_image(""hard/arch.png"")","259.3849985599518"
"polished-sea-3987","sconf_imagestack(""hard/water.png"", ""hard/water.png"")","155.9209976196289"
"zany-haze-3986","sconf_imagestack(""hard/water.png"", ""hard/rose.png"")","297.3279986381531"
"colorful-voice-3985","sconf_imagestack(""hard/water.png"", ""hard/pills.png"")","323.96699953079224"
"twilight-meadow-3984","sconf_imagestack(""hard/water.png"", ""hard/peppers.png"")","243.66499948501587"
"fearless-pine-3983","sconf_imagestack(""hard/water.png"", ""hard/lena.png"")","264.3639986515045"
"dainty-bush-3982","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")","237.85899925231936"
"amber-microwave-3981","sconf_image(""hard/water.png"")","134.45199465751648"
"ruby-snowflake-3980","sconf_imagestack(""hard/rose.png"", ""hard/water.png"")","238.46800065040588"
"trim-wave-3979","sconf_imagestack(""hard/rose.png"", ""hard/rose.png"")","379.0419988632202"
"helpful-cloud-3978","sconf_imagestack(""hard/rose.png"", ""hard/pills.png"")","458.9999969005585"
"stellar-yogurt-3977","sconf_imagestack(""hard/rose.png"", ""hard/peppers.png"")","318.81099939346313"
"deft-tree-3976","sconf_imagestack(""hard/rose.png"", ""hard/lena.png"")","215.29499864578247"
"dazzling-butterfly-3975","sconf_imagestack(""hard/rose.png"", ""hard/arch.png"")","299.90899872779846"
"fine-sun-3974","sconf_image(""hard/rose.png"")","229.0719985961914"
"dainty-valley-3973","sconf_imagestack(""hard/pills.png"", ""hard/water.png"")","353.7509970664978"
"serene-silence-3972","sconf_imagestack(""hard/pills.png"", ""hard/rose.png"")","357.32100105285645"
"spring-cherry-3971","sconf_imagestack(""hard/pills.png"", ""hard/pills.png"")","336.6319987773895"
"zesty-meadow-3970","sconf_imagestack(""hard/pills.png"", ""hard/peppers.png"")","396.1180019378662"
"fancy-rain-3969","sconf_imagestack(""hard/pills.png"", ""hard/lena.png"")","441.1940000057221"
"solar-sun-3968","sconf_imagestack(""hard/pills.png"", ""hard/arch.png"")","333.560998916626"
"magic-bird-3967","sconf_image(""hard/pills.png"")","151.31899905204773"
"cerulean-snowball-3966","sconf_imagestack(""hard/peppers.png"", ""hard/water.png"")","279.78700017929077"
"wobbly-sea-3965","sconf_imagestack(""hard/peppers.png"", ""hard/rose.png"")","236.80400037765503"
"cerulean-sun-3964","sconf_imagestack(""hard/peppers.png"", ""hard/pills.png"")","457.04699969291687"
