"Name","Runtime","Notes","Tags","kernel_set","target_state","loss","loss0","step","total_seconds"
"serene-tree-4598","139","-","","kernel_sobel()","sconf_image(""final/lena.png"")","0.00974628422409296","0.00974628422409296","1501","136.70700025558472"
"kind-firefly-4597","1002","-","","kernel_neighbors()","sconf_image(""final/lake.png"")","0.017911212518811226","0.017911212518811226","7520","1000.1079995632172"
"vibrant-sky-4596","297","-","","kernel_sobel()","sconf_image(""final/lake.png"")","0.009842128492891788","0.009842128492891788","3318","295.3300004005432"
"peach-tree-4595","404","-","","kernel_neighbors()","sconf_image(""final/kid.png"")","0.009011916816234589","0.009011916816234589","2985","400.7819986343384"
"lyric-jazz-4594","114","-","","kernel_sobel()","sconf_image(""final/kid.png"")","0.009894801303744316","0.009894801303744316","1219","111.68599915504456"
"faithful-forest-4593","182","-","","kernel_neighbors()","sconf_image(""final/fontaine.png"")","0.009974450804293156","0.009974450804293156","1338","179.3490014076233"
"charmed-universe-4592","78","-","","kernel_sobel()","sconf_image(""final/fontaine.png"")","0.009568422101438046","0.009568422101438046","801","76.79700040817261"
"solar-thunder-4591","1003","-","","kernel_neighbors()","sconf_image(""final/f16.png"")","0.012043607421219347","0.012043607421219347","7547","1000.12899851799"
"astral-plant-4590","223","-","","kernel_sobel()","sconf_image(""final/f16.png"")","0.008632950484752655","0.008632950484752655","2441","221.2500011920929"
"azure-lake-4589","300","-","","kernel_neighbors()","sconf_image(""final/f15.png"")","0.009758696891367435","0.009758696891367435","2248","296.75099897384644"
"summer-bird-4588","66","-","","kernel_sobel()","sconf_image(""final/f15.png"")","0.009986717253923416","0.009986717253923416","650","63.40700006484985"
"pretty-sponge-4587","729","-","","kernel_neighbors()","sconf_image(""final/corrosion.png"")","0.009871400892734528","0.009871400892734528","5519","726.872978925705"
"rich-music-4586","149","-","","kernel_sobel()","sconf_image(""final/corrosion.png"")","0.009602452628314497","0.009602452628314497","1633","147.0419988632202"
"sage-universe-4585","498","-","","kernel_neighbors()","sconf_image(""final/cathedral.png"")","0.009719244204461576","0.009719244204461576","3768","496.2700002193451"
"drawn-elevator-4584","138","-","","kernel_sobel()","sconf_image(""final/cathedral.png"")","0.009387743659317492","0.009387743659317492","1457","135.5569989681244"
"vivid-haze-4583","243","-","","kernel_neighbors()","sconf_image(""final/bonito.png"")","0.00994550995528698","0.00994550995528698","1817","241.41599774360657"
"stellar-water-4582","93","-","","kernel_sobel()","sconf_image(""final/bonito.png"")","0.00964442826807499","0.00964442826807499","989","91.163001537323"
"tough-dream-4581","252","-","","kernel_neighbors()","sconf_image(""final/boat.png"")","0.008341319859027863","0.008341319859027863","1886","249.67399764060977"
"fluent-cosmos-4580","122","-","","kernel_sobel()","sconf_image(""final/boat.png"")","0.009941838681697844","0.009941838681697844","1318","119.6340012550354"
"fragrant-shadow-4579","252","-","","kernel_neighbors()","sconf_image(""final/bear.png"")","0.009284363128244877","0.009284363128244877","1859","250.2589991092682"
"sweet-brook-4578","111","-","","kernel_sobel()","sconf_image(""final/bear.png"")","0.00966760516166687","0.00966760516166687","1193","108.34600043296814"
"feasible-sky-4577","377","-","","kernel_neighbors()","sconf_image(""final/beach.png"")","0.009683539159595966","0.009683539159595966","2807","375.6599986553192"
"misty-bird-4576","80","-","","kernel_sobel()","sconf_image(""final/beach.png"")","0.009555187076330183","0.009555187076330183","829","77.46499967575073"
"olive-paper-4575","307","-","","kernel_neighbors()","sconf_image(""final/baboon.png"")","0.008650698699057102","0.008650698699057102","2283","303.84898924827576"
"crimson-voice-4574","109","-","","kernel_sobel()","sconf_image(""final/baboon.png"")","0.009994669817388058","0.009994669817388058","1163","106.59299969673155"
"leafy-vortex-4573","1002","-","","kernel_neighbors()","sconf_image(""final/arctic.png"")","0.015834679827094078","0.015834679827094078","7471","1000.1039991378784"
"rural-sea-4572","148","-","","kernel_sobel()","sconf_image(""final/arctic.png"")","0.009354572743177414","0.009354572743177414","1627","145.59300255775452"
"polished-serenity-4571","354","-","","kernel_neighbors()","sconf_image(""final/arch.png"")","0.009310740977525713","0.009310740977525713","2633","351.37899684906006"
"fluent-butterfly-4570","169","-","","kernel_sobel()","sconf_image(""final/arch.png"")","0.009204904548823832","0.009204904548823832","1856","167.3609972000122"
"cerulean-salad-4569","298","-","","kernel_neighbors()","sconf_image(""final/wildflowers.png"")","0.009783688001334667","0.009783688001334667","2192","295.4670000076294"
"unique-microwave-4568","126","-","","kernel_sobel()","sconf_image(""final/wildflowers.png"")","0.009558353573083878","0.009558353573083878","1348","123.92399954795836"
"stilted-deluge-4567","282","-","","kernel_neighbors()","sconf_image(""final/waterfall.png"")","0.00979919359087944","0.00979919359087944","2101","280.15399742126465"
"dark-brook-4566","86","-","","kernel_sobel()","sconf_image(""final/waterfall.png"")","0.009271340444684029","0.009271340444684029","893","83.33199858665466"
"lunar-dragon-4565","349","-","","kernel_neighbors()","sconf_image(""final/water.png"")","0.008963903412222862","0.008963903412222862","2587","346.21499609947205"
"fearless-bush-4564","106","-","","kernel_sobel()","sconf_image(""final/water.png"")","0.00964087899774313","0.00964087899774313","1154","103.44299912452698"
"youthful-breeze-4563","189","-","","kernel_neighbors()","sconf_image(""final/watch.png"")","0.00969578605145216","0.00969578605145216","1387","185.46300101280212"
"ethereal-leaf-4562","104","-","","kernel_sobel()","sconf_image(""final/watch.png"")","0.00991655420511961","0.00991655420511961","1117","101.82900094985962"
"drawn-snow-4561","755","-","","kernel_neighbors()","sconf_image(""final/stress.png"")","0.00930291973054409","0.00930291973054409","5650","752.5129964351654"
"polar-shadow-4560","83","-","","kernel_sobel()","sconf_image(""final/stress.png"")","0.00946196261793375","0.00946196261793375","863","80.54999899864197"
"cosmic-elevator-4559","373","-","","kernel_neighbors()","sconf_image(""final/rose.png"")","0.008861626498401165","0.008861626498401165","2783","369.7719981670379"
"elated-haze-4558","159","-","","kernel_sobel()","sconf_image(""final/rose.png"")","0.00974996667355299","0.00974996667355299","1738","157.28099846839905"
"misunderstood-sunset-4557","421","-","","kernel_neighbors()","sconf_image(""final/pills.png"")","0.00982638355344534","0.00982638355344534","3138","419.7599997520447"
"atomic-cherry-4556","133","-","","kernel_sobel()","sconf_image(""final/pills.png"")","0.00961130578070879","0.00961130578070879","1426","130.50099730491638"
"graceful-eon-4555","259","-","","kernel_neighbors()","sconf_image(""final/peppers.png"")","0.009292243979871271","0.009292243979871271","1911","256.52399826049805"
"genial-galaxy-4554","139","-","","kernel_sobel()","sconf_image(""final/peppers.png"")","0.00986990612000227","0.00986990612000227","1459","136.67200374603271"
"serene-night-4553","361","-","","kernel_neighbors()","sconf_image(""final/opera.png"")","0.009920086711645126","0.009920086711645126","2692","358.84099555015564"
"eternal-blaze-4552","138","-","","kernel_sobel()","sconf_image(""final/opera.png"")","0.008402531035244465","0.008402531035244465","1446","135.94699954986572"
"likely-surf-4551","754","-","","kernel_neighbors()","sconf_image(""final/newyork.png"")","0.009433038532733916","0.009433038532733916","5684","751.2119975090027"
"olive-snowball-4550","200","-","","kernel_sobel()","sconf_image(""final/newyork.png"")","0.009778316132724283","0.009778316132724283","2169","197.72699880599976"
"wild-oath-4549","351","-","","kernel_neighbors()","sconf_image(""final/machine.png"")","0.007844108156859875","0.007844108156859875","2631","347.9329991340637"
"iconic-leaf-4548","73","-","","kernel_sobel()","sconf_image(""final/machine.png"")","0.009185641072690489","0.009185641072690489","771","71.0530035495758"
"winter-terrain-4547","255","-","","kernel_neighbors()","sconf_image(""final/lena.png"")","0.009418546222150326","0.009418546222150326","1910","252.24000024795532"
"major-waterfall-4546","129","-","","kernel_sobel()","sconf_image(""final/lena.png"")","0.009064986370503902","0.009064986370503902","1403","127.17099738121031"
"rural-surf-4545","448","-","","kernel_neighbors()","sconf_image(""final/lake.png"")","0.009937061928212644","0.009937061928212644","3348","445.2310013771057"
"zesty-butterfly-4544","125","-","","kernel_sobel()","sconf_image(""final/lake.png"")","0.009409124962985516","0.009409124962985516","1337","122.7149977684021"
"fearless-shadow-4543","222","-","","kernel_neighbors()","sconf_image(""final/kid.png"")","0.009918253868818285","0.009918253868818285","1639","219.74799799919128"
"wise-energy-4542","98","-","","kernel_sobel()","sconf_image(""final/kid.png"")","0.009384477511048315","0.009384477511048315","1039","95.520001411438"
"smooth-brook-4541","427","-","","kernel_neighbors()","sconf_image(""final/fontaine.png"")","0.00984728056937456","0.00984728056937456","3163","424.6039955615998"
"grateful-bird-4540","89","-","","kernel_sobel()","sconf_image(""final/fontaine.png"")","0.00923409964889288","0.00923409964889288","940","86.40299892425537"
"clean-glade-4539","250","-","","kernel_neighbors()","sconf_image(""final/f16.png"")","0.009991005063056946","0.009991005063056946","1842","247.72899675369263"
"ruby-jazz-4538","200","-","","kernel_sobel()","sconf_image(""final/f16.png"")","0.009085791185498238","0.009085791185498238","2185","198.04599976539612"
"rare-monkey-4537","223","-","","kernel_neighbors()","sconf_image(""final/f15.png"")","0.0099209351465106","0.0099209351465106","1641","220.4389991760254"
"dashing-lake-4536","57","-","","kernel_sobel()","sconf_image(""final/f15.png"")","0.009493514895439148","0.009493514895439148","567","54.52799582481384"
"treasured-dawn-4535","666","-","","kernel_neighbors()","sconf_image(""final/corrosion.png"")","0.00995731819421053","0.00995731819421053","5075","664.1949996948242"
"hearty-darkness-4534","105","-","","kernel_sobel()","sconf_image(""final/corrosion.png"")","0.00948258861899376","0.00948258861899376","1112","102.3559992313385"
"misunderstood-yogurt-4533","826","-","","kernel_neighbors()","sconf_image(""final/cathedral.png"")","0.009817435406148434","0.009817435406148434","6217","824.301999092102"
