Trial number, Nucleation X, Nucleation Y, Min Loss 
0,0.875,0.0,0.009448643
1,0.875,0.0,0.0081101395
2,0.875,0.0,0.008728482
3,0.875,0.0,0.006696388
4,0.875,0.0,0.005167685
5,0.875,0.0,0.009296234
6,0.875,0.0,0.008834473
7,0.875,0.0,0.008578396
8,0.875,0.0,0.008549186
9,0.875,0.0,0.00815603
0,0.875,0.125,0.0074774735
1,0.875,0.125,0.0073109646
2,0.875,0.125,0.0042359405
3,0.875,0.125,0.0039478205
4,0.875,0.125,0.0099071385
5,0.875,0.125,0.008562365
6,0.875,0.125,0.008889522
7,0.875,0.125,0.009514895
8,0.875,0.125,0.0047467942
9,0.875,0.125,0.008020207
0,0.875,0.25,0.010537523
1,0.875,0.25,0.008466334
2,0.875,0.25,0.0058634444
3,0.875,0.25,0.004268994
4,0.875,0.25,0.008165016
5,0.875,0.25,0.009796624
6,0.875,0.25,0.009937874
7,0.875,0.25,0.0053717173
8,0.875,0.25,0.009277968
9,0.875,0.25,0.0061326423
0,0.875,0.375,0.00698404
1,0.875,0.375,0.008017334
2,0.875,0.375,0.007978247
3,0.875,0.375,0.0052363835
4,0.875,0.375,0.009450663
5,0.875,0.375,0.0077655963
6,0.875,0.375,0.010254514
7,0.875,0.375,0.0072074644
8,0.875,0.375,0.0057213553
9,0.875,0.375,0.0088183405
0,0.875,0.5,0.006857256
1,0.875,0.5,0.0066343304
2,0.875,0.5,0.007464867
3,0.875,0.5,0.006707424
4,0.875,0.5,0.0068347384
5,0.875,0.5,0.009581811
6,0.875,0.5,0.006464546
7,0.875,0.5,0.0099319825
8,0.875,0.5,0.0128158955
9,0.875,0.5,0.011002372
0,0.875,0.625,0.007331342
1,0.875,0.625,0.007603321
2,0.875,0.625,0.012194201
3,0.875,0.625,0.006295455
4,0.875,0.625,0.007470166
5,0.875,0.625,0.01043981
6,0.875,0.625,0.0076942146
7,0.875,0.625,0.008665337
8,0.875,0.625,0.0056418017
9,0.875,0.625,0.0055086
0,0.875,0.75,0.0056703663
1,0.875,0.75,0.007969842
2,0.875,0.75,0.010015202
3,0.875,0.75,0.008429474
4,0.875,0.75,0.007910784
5,0.875,0.75,0.0057608546
6,0.875,0.75,0.0080662975
7,0.875,0.75,0.007972972
8,0.875,0.75,0.009466843
9,0.875,0.75,0.0118836565
0,0.875,0.875,0.0037237294
1,0.875,0.875,0.006308373
2,0.875,0.875,0.0048653674
3,0.875,0.875,0.0052343463
4,0.875,0.875,0.0042179
5,0.875,0.875,0.007491452
6,0.875,0.875,0.0061319224
7,0.875,0.875,0.0050238334
8,0.875,0.875,0.008413264
9,0.875,0.875,0.007184748
